	Time (s)	Reached Target
0:	10.326934	no
1:	1.526582	yes
2:	1.497561	yes
3:	0.758035	no
4:	0.037026	no
5:	0.057559	no
6:	10.923240	no
7:	10.685863	no
8:	1.185333	yes
9:	10.612541	no
10:	10.095981	no
11:	10.560930	no
12:	0.069286	no
13:	1.102778	yes
14:	0.888649	yes
15:	1.279926	yes
16:	10.333320	no
17:	11.191070	no
18:	9.994601	no
19:	9.763919	no
20:	0.032022	no
21:	0.657466	yes
22:	10.437754	no
23:	10.331321	no
24:	9.852983	no
25:	11.266968	no
26:	10.262280	no
27:	1.005728	yes
28:	0.095068	no
29:	0.033017	no
30:	0.051036	no
31:	11.533165	no
32:	10.432410	no
33:	0.316240	no
34:	9.488709	no
35:	9.702874	no
36:	0.630445	yes
37:	1.148809	yes
38:	10.110165	no
39:	10.688574	no
40:	9.653839	no
41:	0.190137	no
42:	10.606515	no
43:	9.799807	no
44:	10.114167	no
45:	9.311788	no
46:	10.647840	no
47:	0.609432	yes
48:	1.574114	yes
49:	9.656825	no
