	Time (s)	Reached Target
0:	13.587663	no
1:	22.696476	yes
2:	10.456834	yes
3:	29.432437	no
4:	0.708484	no
5:	1.903129	no
6:	10.887826	no
7:	22.423237	no
8:	3.603021	yes
9:	18.524800	no
10:	15.103126	yes
11:	16.402083	yes
12:	1.726204	no
13:	38.986346	yes
14:	11.672839	yes
15:	24.322495	yes
16:	8.302704	yes
17:	9.644659	yes
18:	5.529302	yes
19:	16.696010	yes
20:	0.631389	no
21:	6.929203	yes
22:	9.244873	no
23:	14.030332	yes
24:	10.564225	yes
25:	19.317370	no
26:	14.350226	no
27:	29.383889	yes
28:	3.105167	no
29:	0.625889	no
30:	1.384208	no
31:	24.933954	yes
32:	5.678560	yes
33:	12.629066	no
34:	10.896763	yes
35:	3.093510	no
36:	12.996557	yes
37:	6.922533	yes
38:	10.640787	yes
39:	15.270617	no
40:	2.857035	no
41:	4.675034	no
42:	11.555209	yes
43:	14.243384	yes
44:	7.518873	no
45:	6.988860	no
46:	15.595399	yes
47:	9.811687	yes
48:	19.879082	yes
49:	8.335435	no
