	Time (s)	Reached Target
0:	0.703107	no
1:	1.183002	yes
2:	0.441898	yes
3:	0.491866	no
4:	0.031250	no
5:	0.031250	no
6:	0.827899	no
7:	1.277092	no
8:	0.554901	yes
9:	0.265629	no
10:	0.860883	no
11:	0.779518	no
12:	0.031242	no
13:	0.852592	yes
14:	0.578672	yes
15:	0.592956	yes
16:	0.251555	no
17:	0.931377	no
18:	0.270131	no
19:	0.259955	no
20:	0.031270	no
21:	0.495277	yes
22:	0.747354	no
23:	0.640230	no
24:	0.260479	no
25:	0.798256	no
26:	0.271677	no
27:	0.617534	yes
28:	0.078132	no
29:	0.031245	no
30:	0.031252	no
31:	1.109464	no
32:	0.697152	no
33:	0.196666	no
34:	0.262612	no
35:	0.285064	no
36:	0.670334	yes
37:	0.711061	yes
38:	0.612715	no
39:	0.983464	no
40:	0.270686	no
41:	0.119470	no
42:	0.724606	no
43:	0.260458	no
44:	0.837183	no
45:	0.271282	no
46:	0.781502	no
47:	0.562492	yes
48:	0.652580	yes
49:	0.609615	no
