	Time (s)	Reached Target
0:	7.782515	no
1:	20.494522	yes
2:	9.961076	yes
3:	14.111332	no
4:	0.605442	no
5:	0.919648	no
6:	10.701583	no
7:	14.808492	no
8:	14.448841	yes
9:	0.581947	no
10:	16.301530	no
11:	11.508137	no
12:	1.263914	no
13:	12.431791	yes
14:	10.306286	yes
15:	18.226933	yes
16:	0.546383	no
17:	12.524873	no
18:	0.542659	no
19:	0.539379	no
20:	0.548389	no
21:	11.891426	yes
22:	11.794776	no
23:	25.808857	no
24:	0.554394	no
25:	12.820034	no
26:	0.536399	no
27:	19.511844	yes
28:	1.787559	no
29:	0.577425	no
30:	1.022707	no
31:	13.884375	no
32:	9.058436	no
33:	6.028255	no
34:	0.563396	no
35:	0.570403	no
36:	6.086860	yes
37:	12.174626	yes
38:	8.100740	no
39:	15.139742	no
40:	0.741525	no
41:	4.373526	no
42:	12.084598	no
43:	0.575389	no
44:	14.187346	no
45:	0.743027	no
46:	14.532862	no
47:	8.023684	yes
48:	16.516525	yes
49:	9.643334	no
